epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
47,3034.06,1.02116,0.54391,1.12222,0.9798,0.97739,0.98971,0.73966,0.96814,0.41146,1.13956,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,3091.36,1.0317,0.54186,1.13087,0.99244,0.975,0.99278,0.73955,0.96449,0.40581,1.13444,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,3155.63,1.01964,0.54369,1.12336,0.9871,0.97399,0.9872,0.73856,0.95885,0.39778,1.12973,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,3224.38,1.02948,0.54419,1.1301,0.98402,0.97963,0.99024,0.74147,0.9527,0.39828,1.13036,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,3279.41,1.0234,0.53916,1.12565,0.98506,0.96925,0.99187,0.7443,0.94701,0.39253,1.12494,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,3349.82,1.01153,0.5331,1.12073,0.98483,0.97773,0.99176,0.74198,0.94972,0.39704,1.12276,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,3405.94,1.0057,0.51886,1.11986,0.9861,0.97785,0.99259,0.74748,0.94629,0.38788,1.13046,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,3469.45,1.00614,0.52138,1.12043,0.99033,0.977,0.99256,0.74395,0.94628,0.3857,1.12845,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,3532.6,1.01176,0.52766,1.12202,0.99031,0.97512,0.99088,0.74401,0.94439,0.38881,1.12294,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,3595.85,0.99912,0.52401,1.11382,0.99215,0.93862,0.95332,0.72317,0.94357,0.38743,1.12553,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,3659.14,0.98772,0.52342,1.10503,0.99351,0.97405,0.99244,0.74575,0.93405,0.38447,1.11803,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,3722.96,0.98796,0.51551,1.10795,0.98465,0.97773,0.99283,0.7483,0.93769,0.38202,1.12177,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,3786.01,0.99462,0.51491,1.10691,0.99033,0.97745,0.99371,0.74749,0.93806,0.38326,1.11601,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,3856.45,0.99428,0.51571,1.10706,0.99353,0.97561,0.99182,0.74773,0.94112,0.38198,1.11235,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,3912.59,0.98541,0.50913,1.10665,0.98713,0.97573,0.99355,0.74745,0.93742,0.37501,1.11753,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,3976.15,0.97487,0.49767,1.09675,0.98964,0.98091,0.99348,0.74789,0.93532,0.37161,1.11152,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,4045.98,0.98597,0.50429,1.10333,0.99118,0.95291,0.96781,0.72701,0.93544,0.37189,1.11787,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,4102.61,0.97108,0.49775,1.09715,0.98498,0.98197,0.99206,0.75108,0.93128,0.37044,1.11524,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,4165.67,0.98114,0.50363,1.10445,0.98514,0.97985,0.99207,0.74987,0.93072,0.36998,1.11482,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,4229.52,0.97487,0.50091,1.10179,0.97992,0.98302,0.99267,0.75092,0.92389,0.36491,1.11171,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,4292.31,0.97637,0.50101,1.10304,0.98466,0.98091,0.99253,0.75321,0.92119,0.36831,1.11232,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,4355.63,0.96109,0.4911,1.09202,0.99034,0.97839,0.99367,0.75257,0.92287,0.36798,1.11149,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,4420.03,0.96449,0.49078,1.09217,0.99247,0.97792,0.99344,0.74938,0.92581,0.35902,1.11119,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,4484.22,0.9577,0.47961,1.09199,0.98868,0.97879,0.9935,0.75288,0.92326,0.35875,1.10824,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,4553.99,0.94595,0.4786,1.08364,0.98762,0.98091,0.99379,0.75528,0.92199,0.35432,1.10626,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,4609.43,0.95236,0.48167,1.08927,0.98883,0.98197,0.99401,0.7532,0.91974,0.35724,1.1057,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,4671.1,0.9441,0.47508,1.085,0.99373,0.98303,0.99414,0.75558,0.91519,0.3578,1.10552,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,4734.38,0.95204,0.47733,1.09083,0.99221,0.98303,0.99386,0.75478,0.91634,0.35397,1.10754,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,4797.1,0.94641,0.4748,1.09318,0.99593,0.97879,0.99399,0.75433,0.91875,0.35386,1.10888,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,4859.42,0.94093,0.47005,1.08618,0.99464,0.98304,0.99454,0.75348,0.9196,0.35646,1.1105,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,4921.49,0.94678,0.47262,1.0886,0.9957,0.98184,0.9942,0.75359,0.91643,0.3531,1.10602,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,4990.06,0.93114,0.46276,1.07869,0.99324,0.97773,0.994,0.75303,0.9145,0.35061,1.10618,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
